"No.","Info","Time","Source","Destination","Protocol","Length"
"7335","Standard query 0x68a5 A www.google.com","6.922742","10.10.10.128","9.9.9.9","DNS","74"
"7336","Standard query 0x9531 A www.google.com","6.924113","10.10.10.128","8.8.8.8","DNS","74"
"7338","Standard query 0x2f2d A www.google.com","6.925576","10.10.10.128","1.1.1.1","DNS","74"
"7368","Standard query response 0x68a5 A www.google.com A 142.250.177.4","6.937192","9.9.9.9","10.10.10.128","DNS","90"
"7370","Standard query response 0x9531 A www.google.com A 142.251.218.132","6.939589","8.8.8.8","10.10.10.128","DNS","90"
"7376","Standard query response 0x2f2d A www.google.com A 142.250.217.132","6.971436","1.1.1.1","10.10.10.128","DNS","90"
"7868","Standard query 0x90a7 A www.google.com","7.959264","10.10.10.128","9.9.9.9","DNS","74"
"7869","Standard query 0xf7f3 A www.google.com","7.960726","10.10.10.128","8.8.8.8","DNS","74"
"7870","Standard query 0xa0fb A www.google.com","7.962286","10.10.10.128","1.1.1.1","DNS","74"
"7871","Standard query response 0x90a7 A www.google.com A 142.250.177.4","7.970946","9.9.9.9","10.10.10.128","DNS","90"
"7872","Standard query response 0xf7f3 A www.google.com A 172.217.15.4","7.972467","8.8.8.8","10.10.10.128","DNS","90"
"7882","Standard query response 0xa0fb A www.google.com A 142.250.217.132","8.047899","1.1.1.1","10.10.10.128","DNS","90"
"9644","Standard query 0x8a9a A dns.google","11.282324","10.10.10.129","9.9.9.9","DNS","70"
"9645","Standard query 0xd0c6 HTTPS dns.google","11.282324","10.10.10.129","9.9.9.9","DNS","70"
"9659","Standard query response 0x8a9a A dns.google A 8.8.8.8 A 8.8.4.4","11.294002","9.9.9.9","10.10.10.129","DNS","102"
"9660","Standard query response 0xd0c6 HTTPS dns.google SOA ns1.zdns.google","11.294002","9.9.9.9","10.10.10.129","DNS","146"
"10993","Standard query 0xd08d A endpointgw.aether.usa.pandasecurity.com","12.941428","10.10.10.118","9.9.9.9","DNS","99"
"11009","Standard query response 0xd08d A endpointgw.aether.usa.pandasecurity.com A 13.64.237.215","12.954352","9.9.9.9","10.10.10.118","DNS","115"
"11954","Standard query 0x0002 AAAA captive.apple.com","14.123681","10.10.10.251","9.9.9.9","DNS","77"
"11955","Standard query response 0x0002 AAAA captive.apple.com CNAME captive-cidr.origin-apple.com.akadns.net CNAME captive-cdn.origin-apple.com.akadns.net CNAME captive.g.aaplimg.com AAAA 2620:149:a32:f100::210 AAAA 2620:149:a32:f100::208","14.135368","9.9.9.9","10.10.10.251","DNS","245"
"11956","Standard query 0x0003 A captive.apple.com","14.135368","10.10.10.251","9.9.9.9","DNS","77"
"11957","Standard query response 0x0003 A captive.apple.com CNAME captive-cidr.origin-apple.com.akadns.net CNAME captive-cdn.origin-apple.com.akadns.net CNAME captive.g.aaplimg.com A 17.253.127.210 A 17.253.127.204","14.147880","9.9.9.9","10.10.10.251","DNS","221"
"13821","Standard query 0xf2b6 A v10.events.data.microsoft.com","15.354675","10.10.10.130","9.9.9.9","DNS","89"
"13823","Standard query 0xeebf A api22-core-c-useast1a.tiktokv.com","15.358481","10.10.10.152","1.1.1.1","DNS","93"
"13825","Standard query 0x24e3 A log22-normal-useast1a.tiktokv.com","15.358481","10.10.10.152","1.1.1.1","DNS","93"
"13834","Standard query response 0xf2b6 A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdwus18.westus.cloudapp.azure.com A 20.189.173.28","15.365508","9.9.9.9","10.10.10.130","DNS","226"
"13874","Standard query response 0x24e3 A log22-normal-useast1a.tiktokv.com CNAME direct.quic-webcast-proxy-useast4-v3.useast4.byteglb.com A 34.117.97.41","15.403144","1.1.1.1","10.10.10.152","DNS","176"
"13966","Standard query response 0xeebf A api22-core-c-useast1a.tiktokv.com CNAME direct.quic-core-proxy-useast4-v3.useast4.byteglb.com A 34.111.174.196","15.442932","1.1.1.1","10.10.10.152","DNS","173"
"14709","Standard query 0xe51d A libra22-normal-useast1a.tiktokv.com","15.748458","10.10.10.152","1.1.1.1","DNS","95"
"14789","Standard query response 0xe51d A libra22-normal-useast1a.tiktokv.com CNAME direct-tmp.quic-mix-proxy-useast4-v3.useast4.byteglb.com A 34.110.200.237","15.795696","1.1.1.1","10.10.10.152","DNS","178"
"15239","Standard query 0xe410 A settings-win.data.microsoft.com","15.944407","10.10.10.130","9.9.9.9","DNS","91"
"15301","Standard query response 0xe410 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-wus2-2.westus2.cloudapp.azure.com A 20.72.205.209","15.956425","9.9.9.9","10.10.10.130","DNS","222"
"15951","Standard query 0x604d A vcs-va.tiktokv.com","16.209098","10.10.10.152","1.1.1.1","DNS","78"
"15974","Standard query 0x26e5 A mssdk22-normal-useast1a.tiktokv.com","16.217418","10.10.10.152","1.1.1.1","DNS","95"
"16169","Standard query response 0x604d A vcs-va.tiktokv.com CNAME vcs-va.tiktokv.com.ttdns2.com CNAME vcs-va.tiktokv.com.edgekey.net CNAME e28622.a.akamaiedge.net A 23.60.168.64 A 184.50.26.114 A 184.50.26.2 A 184.50.26.138 A 23.60.168.67 A 184.50.26.147 A 184.50.26.146 A 23.60.168.59 A 184.50.26.129","16.294239","1.1.1.1","10.10.10.152","DNS","340"
"16193","Standard query response 0x26e5 A mssdk22-normal-useast1a.tiktokv.com CNAME direct-tmp.quic-mix-proxy-useast4-v3.useast4.byteglb.com A 34.110.200.237","16.300668","1.1.1.1","10.10.10.152","DNS","178"
"16769","Standard query 0xf15b A p16-sign-va.tiktokcdn.com","16.493221","10.10.10.152","1.1.1.1","DNS","85"
"16861","Standard query response 0xf15b A p16-sign-va.tiktokcdn.com CNAME p16-sign-va.tiktokcdn.com.akamaized.net CNAME a2047.mm2.akamai.net A 23.219.38.41 A 23.219.38.32 A 23.219.38.34 A 23.219.38.48 A 23.219.38.40 A 23.219.38.43 A 23.219.38.35 A 23.219.38.42 A 23.219.38.49","16.541240","1.1.1.1","10.10.10.152","DNS","313"
"17670","Standard query 0x78d9 A www.google.com","16.862148","10.10.10.10","9.9.9.9","DNS","74"
"17674","Standard query 0x76b9 A sgtm.eset.com","16.864934","10.10.10.10","9.9.9.9","DNS","73"
"17681","Standard query response 0x78d9 A www.google.com A 142.250.177.4","16.873965","9.9.9.9","10.10.10.10","DNS","90"
"17725","Standard query 0x76b9 A sgtm.eset.com","16.900349","10.10.10.10","8.8.8.8","DNS","73"
"17859","Standard query 0x6539 A play.google.com","16.951752","10.10.10.10","9.9.9.9","DNS","75"
"17884","Standard query 0xa764 A www.youtube.com","16.962176","10.10.10.10","9.9.9.9","DNS","75"
"17890","Standard query response 0x6539 A play.google.com A 192.178.52.174","16.963215","9.9.9.9","10.10.10.10","DNS","91"
"17901","Standard query response 0xa764 A www.youtube.com CNAME youtube-ui.l.google.com A 172.217.2.142 A 142.251.34.46 A 192.178.52.174 A 192.178.56.238 A 192.178.56.142 A 192.178.56.46 A 172.217.3.142 A 192.178.57.46 A 192.178.56.110 A 192.178.57.14 A 192.178.56.174 A 192.178.56.206 A 142.251.218.142 A 192.178.52.142 A 142.251.34.14 A 192.178.56.78","16.973752","9.9.9.9","10.10.10.10","DNS","365"
"17915","Standard query response 0x76b9 A sgtm.eset.com CNAME sgtm.gtm.eset.com A 20.31.122.183","16.981945","8.8.8.8","10.10.10.10","DNS","112"
"18064","Standard query response 0x76b9 A sgtm.eset.com CNAME sgtm.gtm.eset.com A 20.31.122.183","17.059083","9.9.9.9","10.10.10.10","DNS","112"
"19137","Standard query 0x3c04 A webcast22-ws-useast1a.tiktokv.com","18.338036","10.10.10.152","1.1.1.1","DNS","93"
"19138","Standard query 0xcffb A webcast16-ws-useast1a.tiktokv.com","18.339613","10.10.10.152","1.1.1.1","DNS","93"
"19190","Standard query response 0x3c04 A webcast22-ws-useast1a.tiktokv.com CNAME direct-http.quic-webcast-proxy-useast4-v3.useast4.byteglb.com A 34.117.214.157","18.425242","1.1.1.1","10.10.10.152","DNS","181"
"19191","Standard query response 0xcffb A webcast16-ws-useast1a.tiktokv.com CNAME webcast16-ws-useast1a.tiktokv.com.edgekey.net CNAME e28622.a.akamaiedge.net A 184.50.26.142 A 184.50.26.145 A 184.50.26.113 A 184.50.26.137 A 23.60.168.67 A 184.50.26.207 A 184.50.26.206 A 184.50.26.120 A 184.50.26.2","18.425242","1.1.1.1","10.10.10.152","DNS","330"
"19579","Standard query 0xcc7c A api19-core-c-useast1a.tiktokv.com","18.644971","10.10.10.152","1.1.1.1","DNS","93"
"19616","Standard query response 0xcc7c A api19-core-c-useast1a.tiktokv.com CNAME tiktok.bytedance.map.fastly.net A 146.75.94.73","18.690973","1.1.1.1","10.10.10.152","DNS","154"
"19817","Standard query 0x20d1 A api19-normal-c-useast1a.tiktokv.com","18.924643","10.10.10.152","1.1.1.1","DNS","95"
"19860","Standard query response 0x20d1 A api19-normal-c-useast1a.tiktokv.com CNAME tiktok.bytedance.map.fastly.net A 146.75.94.73","18.970931","1.1.1.1","10.10.10.152","DNS","156"
"19969","Standard query 0x23c9 A webcast19-normal-c-useast1a.tiktokv.com","19.086256","10.10.10.152","1.1.1.1","DNS","99"
"20009","Standard query response 0x23c9 A webcast19-normal-c-useast1a.tiktokv.com CNAME tiktok.bytedance.map.fastly.net A 151.101.198.73","19.132229","1.1.1.1","10.10.10.152","DNS","160"
"20264","Standard query 0xd880 A search19-normal-c-useast1a.tiktokv.com","19.534385","10.10.10.152","1.1.1.1","DNS","98"
"20393","Standard query response 0xd880 A search19-normal-c-useast1a.tiktokv.com CNAME bytedance.map.fastly.net A 146.75.94.73","19.580904","1.1.1.1","10.10.10.152","DNS","152"
"20522","Standard query 0x7215 A encrypted-tbn0.gstatic.com","19.617554","10.10.10.10","9.9.9.9","DNS","86"
"20567","Standard query response 0x7215 A encrypted-tbn0.gstatic.com A 192.178.52.206","19.629803","9.9.9.9","10.10.10.10","DNS","102"
"20814","Standard query 0x6dba A rtlog22-normal-useast1a.tiktokv.com","19.727915","10.10.10.152","1.1.1.1","DNS","95"
"20942","Standard query response 0x6dba A rtlog22-normal-useast1a.tiktokv.com CNAME direct.quic-webcast-proxy-useast4-v3.useast4.byteglb.com A 34.149.173.23","19.812694","1.1.1.1","10.10.10.152","DNS","178"
"22060","Standard query 0x55c5 A mobile.events.data.microsoft.com","21.289669","10.10.10.129","9.9.9.9","DNS","92"
"22066","Standard query response 0x55c5 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdfrc02.francecentral.cloudapp.azure.com A 40.79.150.120","21.301192","9.9.9.9","10.10.10.129","DNS","219"
"22437","Standard query 0xf662 A dns.google","21.752119","10.10.10.129","9.9.9.9","DNS","70"
"22440","Standard query 0x88c5 HTTPS dns.google","21.754392","10.10.10.129","9.9.9.9","DNS","70"
"22443","Standard query response 0xf662 A dns.google A 8.8.8.8 A 8.8.4.4","21.763785","9.9.9.9","10.10.10.129","DNS","102"
"22445","Standard query response 0x88c5 HTTPS dns.google SOA ns1.zdns.google","21.765804","9.9.9.9","10.10.10.129","DNS","146"
"23107","Standard query 0x26c4 A gateway.aether.usa.pandasecurity.com","22.365153","10.10.10.118","9.9.9.9","DNS","96"
"23114","Standard query response 0x26c4 A gateway.aether.usa.pandasecurity.com A 13.64.237.215","22.376277","9.9.9.9","10.10.10.118","DNS","112"
"23589","Standard query 0xbbe0 A dns.quad9.net","22.982046","10.10.10.166","9.9.9.9","DNS","73"
"23594","Standard query response 0xbbe0 A dns.quad9.net A 149.112.112.112 A 9.9.9.9","22.993723","9.9.9.9","10.10.10.166","DNS","105"
"25137","Standard query 0x6f4c A fd.api.iris.microsoft.com","24.626102","10.10.10.129","9.9.9.9","DNS","85"
"25138","Standard query response 0x6f4c A fd.api.iris.microsoft.com CNAME fd-api-iris.trafficmanager.net CNAME iris-de-prod-azsc-v2-eus2-b.eastus2.cloudapp.azure.com A 20.75.60.91","24.637128","9.9.9.9","10.10.10.129","DNS","210"
"25488","Standard query 0x23cb A graph.microsoft.com","25.693783","10.10.10.129","9.9.9.9","DNS","79"
"25489","Standard query response 0x23cb A graph.microsoft.com CNAME ags.privatelink.msidentity.com CNAME www.tm.prd.ags.trafficmanager.net A 20.190.157.96 A 20.190.157.97 A 20.190.157.160 A 20.190.157.98 A 20.190.157.30 A 40.126.29.96","25.704929","9.9.9.9","10.10.10.129","DNS","263"
"25813","Standard query 0x83a9 A dns.google","26.149519","10.10.10.129","9.9.9.9","DNS","70"
"25814","Standard query 0xe26d HTTPS dns.google","26.150811","10.10.10.129","9.9.9.9","DNS","70"
"25829","Standard query response 0x83a9 A dns.google A 8.8.8.8 A 8.8.4.4","26.160873","9.9.9.9","10.10.10.129","DNS","102"
"25833","Standard query response 0xe26d HTTPS dns.google SOA ns1.zdns.google","26.162312","9.9.9.9","10.10.10.129","DNS","146"
"26990","Standard query 0x8c80 A tnc16-platform-useast1a.tiktokv.com","27.072481","10.10.10.152","1.1.1.1","DNS","95"
"27048","Standard query response 0x8c80 A tnc16-platform-useast1a.tiktokv.com CNAME tnc16-platform-useast1a.tiktokv.com.edgekey.net CNAME e28622.api2.akamaiedge.net A 23.15.240.32 A 23.15.240.74 A 23.15.240.67 A 23.15.240.24 A 23.15.240.27 A 23.15.240.64 A 23.15.240.49 A 23.15.240.88 A 23.15.240.51","27.159165","1.1.1.1","10.10.10.152","DNS","337"
"27462","Standard query 0xbdd9 A settings-win.data.microsoft.com","28.009704","10.10.10.130","9.9.9.9","DNS","91"
"27463","Standard query response 0xbdd9 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-sea-2.southeastasia.cloudapp.azure.com A 40.119.249.228","28.021835","9.9.9.9","10.10.10.130","DNS","227"
"27487","Standard query 0x807b A www.gstatic.com","28.110393","10.10.10.10","9.9.9.9","DNS","75"
"27488","Standard query 0x7220 A fonts.gstatic.com","28.110393","10.10.10.10","9.9.9.9","DNS","77"
"27489","Standard query response 0x7220 A fonts.gstatic.com A 192.178.56.227","28.122918","9.9.9.9","10.10.10.10","DNS","93"
"27490","Standard query response 0x807b A www.gstatic.com A 142.251.218.131","28.122918","9.9.9.9","10.10.10.10","DNS","91"
"28120","Standard query 0xf756 A i.ytimg.com","28.744557","10.10.10.10","9.9.9.9","DNS","71"
"28128","Standard query response 0xf756 A i.ytimg.com A 192.178.56.246 A 192.178.57.22 A 192.178.57.54 A 172.217.3.150 A 142.251.34.22 A 142.251.34.54 A 142.251.218.150 A 172.217.2.150 A 192.178.52.150 A 192.178.52.182 A 192.178.52.214 A 192.178.56.86 A 192.178.56.118 A 192.178.56.150 A 192.178.56.182 A 192.178.56.214","28.755692","9.9.9.9","10.10.10.10","DNS","327"
"28843","Standard query 0x2156 A adservice.google.com","29.142271","10.10.10.10","9.9.9.9","DNS","80"
"28849","Standard query response 0x2156 A adservice.google.com A 192.178.52.162","29.153768","9.9.9.9","10.10.10.10","DNS","96"
"29320","Standard query 0x2e14 A static.doubleclick.net","29.569452","10.10.10.10","9.9.9.9","DNS","82"
"29323","Standard query response 0x2e14 A static.doubleclick.net A 172.217.4.166","29.580136","9.9.9.9","10.10.10.10","DNS","98"
"29324","Standard query 0x47bf A tsfe.trafficshaping.dsp.mp.microsoft.com","29.580136","10.10.10.130","9.9.9.9","DNS","100"
"29329","Standard query response 0x47bf A tsfe.trafficshaping.dsp.mp.microsoft.com CNAME tsfe.trafficmanager.net A 40.119.46.46","29.591272","9.9.9.9","10.10.10.130","DNS","153"
"29348","Standard query 0x7961 A jnn-pa.googleapis.com","29.604236","10.10.10.10","9.9.9.9","DNS","81"
"29376","Standard query response 0x7961 A jnn-pa.googleapis.com A 192.178.56.138 A 142.250.177.10 A 192.178.56.234 A 192.178.57.10 A 192.178.56.202 A 192.178.56.42 A 142.251.218.138 A 192.178.56.106 A 192.178.57.42 A 192.178.52.234 A 192.178.56.10 A 192.178.56.74 A 172.217.3.138 A 142.251.34.42 A 192.178.56.170 A 142.251.34.10","29.616409","9.9.9.9","10.10.10.10","DNS","337"
"29798","Standard query 0xd1d6 A geover.prod.do.dsp.mp.microsoft.com","30.005649","10.10.10.130","9.9.9.9","DNS","95"
"29800","Standard query response 0xd1d6 A geover.prod.do.dsp.mp.microsoft.com CNAME geover.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e10370.d.akamaiedge.net A 23.208.102.149","30.017268","9.9.9.9","10.10.10.130","DNS","206"
"29804","Standard query 0x87c6 A cp601.prod.do.dsp.mp.microsoft.com","30.037316","10.10.10.130","9.9.9.9","DNS","94"
"29829","Standard query response 0x87c6 A cp601.prod.do.dsp.mp.microsoft.com CNAME cp601.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e12358.d.akamaiedge.net A 23.208.100.35","30.061175","9.9.9.9","10.10.10.130","DNS","204"
"30361","Standard query 0x5388 A kv601.prod.do.dsp.mp.microsoft.com","30.685907","10.10.10.130","9.9.9.9","DNS","94"
"30419","Standard query response 0x5388 A kv601.prod.do.dsp.mp.microsoft.com CNAME kv601.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e12358.d.akamaiedge.net A 23.208.100.35","30.702583","9.9.9.9","10.10.10.130","DNS","204"
"30534","Standard query 0xa288 A 1D.tlu.dl.delivery.mp.microsoft.com","30.870805","10.10.10.130","9.9.9.9","DNS","95"
"30535","Standard query response 0xa288 A 1D.tlu.dl.delivery.mp.microsoft.com CNAME dcat-tlu-bg-shim.trafficmanager.net CNAME tlu-dcat.azureedge.net CNAME tlu-dcat.ec.azureedge.net CNAME wu.wpc.apr-52dd2.edgecastdns.net CNAME hlb.apr-52dd2-0.edgecastdns.net CNAME cs11.wpc.v0cdn.net A 72.21.81.240","30.881870","9.9.9.9","10.10.10.130","DNS","321"
"30558","Standard query 0x3bc3 A fe2cr.update.microsoft.com","31.026460","10.10.10.130","9.9.9.9","DNS","86"
"30559","Standard query response 0x3bc3 A fe2cr.update.microsoft.com CNAME fe2cr.update.msft.com.trafficmanager.net A 40.78.107.252 A 40.83.50.92","31.037331","9.9.9.9","10.10.10.130","DNS","172"
"30921","Standard query 0xa902 A settings-win.data.microsoft.com","31.824138","10.10.10.130","9.9.9.9","DNS","91"
"30924","Standard query response 0xa902 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-wus2-2.westus2.cloudapp.azure.com A 20.72.205.209","31.835530","9.9.9.9","10.10.10.130","DNS","222"
"31021","Standard query 0xd3ed A www.google.com","31.973095","10.10.10.128","9.9.9.9","DNS","74"
"31034","Standard query 0x029b A www.google.com","31.981230","10.10.10.128","8.8.8.8","DNS","74"
"31041","Standard query 0x4077 A www.google.com","31.982397","10.10.10.128","1.1.1.1","DNS","74"
"31047","Standard query response 0xd3ed A www.google.com A 142.250.177.4","31.984662","9.9.9.9","10.10.10.128","DNS","90"
"31063","Standard query response 0x029b A www.google.com A 142.251.34.4","31.995452","8.8.8.8","10.10.10.128","DNS","90"
"31084","Standard query response 0x4077 A www.google.com A 142.250.72.164","32.028888","1.1.1.1","10.10.10.128","DNS","90"
"31791","Standard query 0x21eb A catalog.gamepass.com","33.037027","10.10.10.37","9.9.9.9","DNS","80"
"31795","Standard query response 0x21eb A catalog.gamepass.com CNAME catalog.gamepass.com.edgesuite.net CNAME a1992.dscd.akamai.net A 23.218.232.163 A 23.218.232.186","33.048295","9.9.9.9","10.10.10.37","DNS","192"
"32030","Standard query 0x119a A v10.events.data.microsoft.com","33.502800","10.10.10.130","9.9.9.9","DNS","89"
"32031","Standard query response 0x119a A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdeus10.eastus.cloudapp.azure.com A 52.168.117.169","33.514547","9.9.9.9","10.10.10.130","DNS","226"
"32426","Standard query 0x63c1 A fs.microsoft.com","34.193650","10.10.10.130","9.9.9.9","DNS","76"
"32431","Standard query response 0x63c1 A fs.microsoft.com CNAME prod.fs.microsoft.com.akadns.net CNAME fs-wildcard.microsoft.com.edgekey.net CNAME fs-wildcard.microsoft.com.edgekey.net.globalredir.akadns.net CNAME e16604.g.akamaiedge.net A 23.208.101.192","34.204533","9.9.9.9","10.10.10.130","DNS","284"
"33742","Standard query 0x292d A fe3cr.delivery.mp.microsoft.com","35.998719","10.10.10.130","9.9.9.9","DNS","91"
"33744","Standard query response 0x292d A fe3cr.delivery.mp.microsoft.com CNAME fe3.delivery.mp.microsoft.com CNAME glb.cws.prod.dcat.dsp.trafficmanager.net A 13.95.31.18","36.009124","9.9.9.9","10.10.10.130","DNS","179"
"35050","Standard query 0x2b59 A frontier-va.tiktokv.com","37.214402","10.10.10.152","1.1.1.1","DNS","83"
"35144","Standard query response 0x2b59 A frontier-va.tiktokv.com CNAME mvaali1.ws.byteoversea.net A 130.44.212.236 A 130.44.212.232 A 130.44.212.235 A 130.44.212.234","37.260083","1.1.1.1","10.10.10.152","DNS","187"
"35319","Destination unreachable (Port unreachable)","37.415902","10.10.10.152","1.1.1.1","ICMP","215"
"35320","Destination unreachable (Port unreachable)","37.415902","10.10.10.152","1.1.1.1","ICMP","215"
"35322","Destination unreachable (Port unreachable)","37.428625","10.10.10.152","1.1.1.1","ICMP","215"
"35323","Destination unreachable (Port unreachable)","37.428625","10.10.10.152","1.1.1.1","ICMP","215"
"35328","Destination unreachable (Port unreachable)","37.437564","10.10.10.152","1.1.1.1","ICMP","215"
"36180","Standard query 0xc60e PTR lb._dns-sd._udp.0.10.10.10.in-addr.arpa","38.347073","10.10.10.82","9.9.9.9","DNS","99"
"36181","Standard query 0x075e HTTPS dns.quad9.net","38.347073","10.10.10.82","9.9.9.9","DNS","73"
"36182","Standard query 0x379b A dns.quad9.net","38.347073","10.10.10.82","9.9.9.9","DNS","73"
"36215","Standard query response 0xc60e No such name PTR lb._dns-sd._udp.0.10.10.10.in-addr.arpa SOA prisoner.iana.org","38.358988","9.9.9.9","10.10.10.82","DNS","176"
"36218","Standard query response 0x379b A dns.quad9.net A 149.112.112.112 A 9.9.9.9","38.358988","9.9.9.9","10.10.10.82","DNS","105"
"36220","Standard query response 0x075e HTTPS dns.quad9.net SOA admin1.sjc.rrdns.pch.net","38.358988","9.9.9.9","10.10.10.82","DNS","141"
"36484","Standard query 0x9d3e HTTPS mask.apple-dns.net","38.569362","10.10.10.82","9.9.9.9","DNS","78"
"36485","Standard query 0x0c4b A mask.apple-dns.net","38.569362","10.10.10.82","9.9.9.9","DNS","78"
"36496","Standard query response 0x9d3e HTTPS mask.apple-dns.net SOA ns-1096.awsdns-09.org","38.580825","9.9.9.9","10.10.10.82","DNS","163"
"36499","Standard query response 0x0c4b A mask.apple-dns.net A 104.30.128.94 A 104.30.128.97 A 104.30.128.118 A 104.30.128.119 A 104.30.128.121 A 104.30.128.116 A 104.30.128.114 A 104.30.128.95","38.581643","9.9.9.9","10.10.10.82","DNS","206"
"38790","Standard query 0xff93 A word-telemetry.officeapps.live.com","39.956521","10.10.10.9","8.8.8.8","DNS","106"
"38798","Standard query 0x1628 HTTPS word-telemetry.officeapps.live.com","39.958128","10.10.10.9","8.8.8.8","DNS","106"
"38808","Standard query response 0xff93 A word-telemetry.officeapps.live.com CNAME word-telemetry.wac.trafficmanager.net CNAME pgtus6-word-telemetry-vip.officeapps.live.com A 52.108.79.33","39.967192","8.8.8.8","10.10.10.9","DNS","215"
"38814","Standard query response 0x1628 HTTPS word-telemetry.officeapps.live.com CNAME word-telemetry.wac.trafficmanager.net CNAME pgtus6-word-telemetry-vip.officeapps.live.com SOA ph0mgt0101dc002.prdmgt01.prod.exchangelabs.com","39.972240","8.8.8.8","10.10.10.9","DNS","295"
"39712","Standard query 0x8303 A dns.google","40.521927","10.10.10.118","9.9.9.9","DNS","70"
"39713","Standard query 0x9920 HTTPS dns.google","40.521927","10.10.10.118","9.9.9.9","DNS","70"
"39723","Standard query response 0x8303 A dns.google A 8.8.8.8 A 8.8.4.4","40.533517","9.9.9.9","10.10.10.118","DNS","102"
"39724","Standard query response 0x9920 HTTPS dns.google SOA ns1.zdns.google","40.533517","9.9.9.9","10.10.10.118","DNS","146"
"41472","Standard query 0xaa71 A mobile.events.data.microsoft.com","41.370473","10.10.10.129","9.9.9.9","DNS","92"
"41475","Standard query 0x0da2 A bsync-va.tiktokv.com","41.372381","10.10.10.152","1.1.1.1","DNS","80"
"41520","Standard query response 0xaa71 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprduks02.uksouth.cloudapp.azure.com A 51.132.193.104","41.382406","9.9.9.9","10.10.10.129","DNS","213"
